participants,nonparticipants
230.16,614.61
210.99,503.46
288.73,425.22
590.28,688.77
582.59,184
635.21,299.73
249.86,350.65
441.66,394.94
572.43,261.55
357.78,295.28
396.79,139.69
298.38,462.78
282.99,179.59
368.51,301.75
388.59,436.58
256.32,371.39
408.82,469.02
424.94,378.09
477.96,287.31
428.74,448.55
432.52,332.64
428.27,403.98
596.79,
456.3,
446.38,
