Seed Count,Seed Weight
40,3423
93,1851
107,4535
184,3669
253,2475
411,2475
463,247
525,1930
1159,216
1751,48
1892,247
2667,37.7
3671,3.3
5051,3.4
5196,40
7202,2
12158,1.6
13509,9.1
27239,0.6
